year,gop_ideo,dem_ideo,dem_defense,gop_defense,dem_ussr,gop_ussr,dem_women,gop_women,dem_aid_blacks,gop_aid_blacks,dem_health,gop_health,dem_govt_spend,gop_govt_spend,dem_jobs_living,gop_jobs_living
1972,4.8714090287277702,2.4489942528735632,,,,,2.9479597871082200,3.4634397528321318,2.6552346570397112,4.1460800902425268,2.7731213872832370,4.6160108548168250,,,2.3518716577540107,4.4275582573454914
1976,4.9080376538740043,3.2324204293116210,,,,,3.1986531986531987,3.3436018957345972,3.1867388362652233,3.9486345903771131,2.9654882154882155,4.5199044585987261,,,3.0488118175979448,4.3548185231539424
1980,5.2117263843648208,3.7394594594594595,3.7285945072697900,5.5043630017452007,2.7389380530973451,4.4752475247524752,2.7818343722172752,4.2063037249283668,3.1024702653247941,4.9658634538152610,,,,,3.2191650853889943,4.8903688524590164
1984,4.9643243243243243,3.4470198675496689,3.3895723491505565,5.6695417789757412,3.3260734287492222,4.9847543760587239,,,3.1863609641387419,4.5646145313366611,,,4.9976004799040192,2.8950028074115665,3.2785415421398685,5.0000000000000000
1988,5.1145569620253165,3.2367560497056900,3.3121546961325967,5.2753906250000000,3.4396482813749001,4.0859760394644116,2.8621477532368621,3.7417503586800574,3.3497790868924890,4.8282469836763662,3.1177811550151976,5.0536370315944159,5.0970094821298322,3.5523338048090523,3.3790322580645161,5.0454246214614878
1992,5.0472440944881890,3.1862232779097387,3.3480565371024735,4.7963446475195822,,,,,,,,,4.9970291146761735,3.3139140271493213,3.5155672823218997,5.1391905231984205
1996,5.1480769230769231,3.1523631840796020,3.9462705436156764,4.6535859269282815,,,2.1774701069855255,3.3802083333333333,3.3157552083333333,4.9958819492107069,2.8582278481012658,5.0841889117043121,4.9107468123861566,3.1464194373401535,3.2675078864353312,5.0934825543120474
2000,5.0179948586118252,3.1822849807445443,4.0592592592592593,5.0060459492140266,,,2.5253399258343634,3.3746803069053708,3.3952321204516939,4.8202531645569620,,,5.1275167785234899,3.5602272727272727,3.5815085158150852,4.9130966952264382
2004,5.1826568265682657,2.9871323529411765,3.6258005489478500,5.7469879518072289,,,2.6014198782961460,3.5469194312796209,3.3255319148936170,4.9550449550449550,,,5.0179076343072573,3.4314765694076039,3.1974708171206226,5.2000000000000000
2008,4.8574153552694325,3.2872796569795141,3.6935332708528585,5.3918669131238447,,,2.5138888888888889,3.2617382617382617,3.1174480425326245,4.9595346484572585,2.9497630331753555,5.1522157996146435,5.2994454713493530,3.6308411214953271,3.1139846743295019,5.1591128254580521
2012,5.1483928571428571,2.7457746478873239,,,,,,,2.9649091870922236,5.4724380986806434,2.4565966241818808,5.4723635725565889,5.3535892580478568,2.6912716459681651,2.8376172282042376,5.4978074022101386
2016,4.8737509139653912,2.7256977863330125,3.6568345323741007,5.3255758157389635,,,,,2.9067531843306897,5.5892942870859337,2.8002880460873740,5.4992753623188406,5.2664120315111005,2.9005046863734679,3.0461943513642891,5.5500958772770853
2020,5.5518523107421633,2.7777913960044123,,,,,,,2.6038753985773853,5.5871615827514394,2.5934969325153374,5.8113900796080833,5.3189454322501533,2.8448824681684623,,