year,16,17,33,34,67,68,95,96
1948,999,1000,1999,2000,2999,3000,4999,5000
1952,1999,2000,2999,3000,3999,4000,9999,10000
1954,1999,2000,2999,4000,5999,4000,9999,10000
1956,1999,2000,3999,4000,5999,6000,9999,10000
1958,1999,2000,3999,4000,5999,6000,14999,15000
1960,1999,2000,3999,4000,5999,6000,14999,15000
1962,2999,3000,3999,4000,7499,7500,14999,15000
1964,2999,3000,4999,5000,7499,7500,14999,15000
1966,2999,3000,3999,4000,7499,7500,14999,15000
1968,2999,3000,5999,6000,9999,10000,19999,20000
1970,2999,3000,4999,5000,9999,10000,24999,25000
1972,3999,4000,5999,6000,11999,12000,24999,25000
1974,3999,4000,6999,7000,14999,15000,34999,35000
1976,3999,4000,7999,8000,14999,15000,34999,35000
1978,5999,6000,10999,11000,19999,20000,34999,35000
1980,6999,7000,11999,12000,24999,25000,49999,50000
1982,6999,7000,12999,13000,24999,25000,49999,50000
1984,6999,7000,12999,13000,29999,30000,59999,60000
1986,8999,9000,14999,15000,34999,35000,74999,75000
1988,9999,10000,14999,15000,34999,35000,89999,90000
1990,9999,10000,16999,17000,34999,35000,89999,90000
1992,9999,10000,19999,20000,39999,40000,89999,90000
1994,11999,12000,21999,22000,44999,45000,104999,105000
1996,11999,12000,21999,22000,49999,50000,104999,105000
1998,8999,9999,21999,22000,49999,50000,104999,105000
2000,14999,15000,34999,35000,64999,65000,124999,125000
2004,16999,17000,34999,35000,69999,70000,119999,120000
2008,14999,15000,29999,30000,74999,75000,149999,150000
2012,14999,15000,29999,30000,74999,75000,174999,175000
2016,17499,17500,34999,35000,74999,75000,249999,250000
2020,24999,25000,44999,45000,99999,100000,249999,250000